ID,District,Polling Station,Eastings,Northings,Area,Perimeter,lat,lng
1,OA,Elm Grove,528552.83700,165184.62000,524488.71900,3606.61800,51.37117778213118,-0.1545526573671605
10,KA,The Quad Youth Centre,527172.65500,167174.86400,492587.08400,3660.47500,51.38937478053165,-0.17365797948937597
12,KC,Wandle Valley School,527604.52900,166535.30200,350714.78300,2861.37500,51.38353014685558,-0.16768412524928356
14,KD,All Saints Church Centre,528290.86500,166481.70400,962861.82600,5156.37900,51.382893877682584,-0.1578462122892959
15,AA,Green Lane Primary School,522762.64700,166489.78100,713857.47500,4256.23500,51.38418802663304,-0.23724209488161757
16,AC,Dorchester Primary School,523537.24500,166056.91600,528206.03400,3643.66400,51.38012980257351,-0.2262670338522954
17,AB,Christ Church with St Phillips,523171.33200,165615.09700,716350.31700,4122.62000,51.37623845922835,-0.23167516992397777
18,PC,St Michaels Church Centre,529470.02900,163866.46000,277147.29900,2653.20700,51.35912335232309,-0.1418630298686856
19,PB,Wallington Public Hall,529124.71900,163636.26300,261522.79000,2526.38500,51.357133105071405,-0.14690323593445678
2,OC,Holy Trinity C of E School,529167.18800,164747.55200,512608.02500,4293.62700,51.367110575271546,-0.14589036857985319
20,PA,United Reformed Church Hall,528629.84000,163518.60100,496851.58000,3503.48600,51.35618784265232,-0.15404915137167904
21,PD,St Patricks Church Hall,528835.18300,162895.40100,675643.94700,5623.76200,51.35054065260269,-0.15132721377306022
22,LA,Pavillion I,526858.53200,165337.89900,325717.06200,3141.63600,51.3729360427854,-0.17882549192548866
24,LB,Muschamp Junior School,527560.59400,165780.72200,564211.13200,4402.58300,51.37675856536023,-0.1685858317808668
25,LC,Victor Seymour Infants School,527902.24900,165383.04400,589893.87800,3475.71900,51.373107816274754,-0.1638226496747277
26,DA,Cheam Methodist Church,524122.80300,164377.39600,635848.43900,4582.50300,51.36490781371055,-0.21844352673689635
27,DB,St Dunstans C of E Primary School,524211.76400,163389.47700,816123.20000,4413.74000,51.35600963451629,-0.21751104516233608
28,DC,St Andrews Church Hall,524434.06200,161702.16600,2478810.24400,7828.95600,51.34079661413527,-0.21490957888205828
29,QA,Mobile Library,529356.63400,166820.79800,1503185.85800,5417.49100,51.38569960295622,-0.1424164311504963
3,OB,Holy Trinity Church Hall,528741.50100,164343.59200,568576.62300,3707.02700,51.36357676715942,-0.15214806548280288
30,QB,Beddington Park Primary School,529859.88900,165744.79500,1940003.42900,7529.52900,51.37591486099484,-0.13558135264659066
31,QC,Beddington Infants School,529478.52300,165126.73200,900941.25100,5782.98500,51.3704474047395,-0.14128258920057749
32,QD,High View Primary School,530323.38100,164461.58400,650478.47200,4479.26000,51.36427669995868,-0.12939588154832463
33,RB,Phoenix Centre,530510.98000,163184.42500,1076867.24700,5734.12800,51.35275599393448,-0.12717093435024074
