Sutton Central	Margaret Mary Greenwood	Conservative Party	668	
Sutton Central	Maria Teresa Ponto	Labour Party	422	
Sutton North	Clifford Charles George Carter	Conservative Party	1361	Elected
Sutton North	Darren Lee Marsh	Conservative Party	1299	
Sutton North	David James Park	Conservative Party	1260	
Sutton North	Helen Martin	Labour Party	227	
Sutton North	Lynette Rose Marie Gleeson	Liberal Democrats	1387	Elected
Sutton North	Marlene Sylvia Heron	Liberal Democrats	1347	
Sutton North	Michael John Cue	Labour Party	229	
Sutton North	Ruth Carole Dombey	Liberal Democrats	1436	Elected
Sutton North	Stephen Morton	Labour Party	212	
Sutton South	Barry Anthony Russell	Conservative Party	1393	Elected
Sutton South	Claire Louise Stears	Liberal Democrats	1227	
Sutton South	Helen Jones	Labour Party	137	
Sutton South	Mohamed Sajid Ali	Liberal Democrats	1205	
Sutton South	Paul Charles Newman	Conservative Party	1413	Elected
Sutton South	Paul Michael Harrison	Labour Party	124	
Sutton South	Peter Frederick Ticher	Independent	232	
Sutton South	Richard Francis Clifton	Liberal Democrats	1336	
Sutton South	Ronald James Phillips	Labour Party	103	
Sutton South	Ronald Lionel John Newman	UK Independence Party	181	
Sutton South	Tony Alfred Shields	Conservative Party	1502	Elected
Sutton West	Christopher Graham Furey	Conservative Party	1414	
Sutton West	Ian Aidan Chapman	Liberal Democrats	1552	Elected
Sutton West	Jonathan David Pritchard	Conservative Party	1376	
Sutton West	Morgan McSweeney	Labour Party	149	
Sutton West	Myfanwy Ann Wallace	Liberal Democrats	1522	Elected
Sutton West	Peter Harry Hickson	Green Party	297	
Sutton West	Richard James Willis	Conservative Party	1415	
Sutton West	Ronald Sidney Williams	Labour Party	146	
Sutton West	Shawn Victor Buck	Labour Party	132	
Sutton West	Simon David Wales	Liberal Democrats	1466	Elected
The Wrythe	Catherine Mary Magee	Labour Party	337	
The Wrythe	Christopher Ellis Wortley	Conservative Party	834	
The Wrythe	Colin Henry Stears	Liberal Democrats	1405	Elected
The Wrythe	Derek John Lockhart	Conservative Party	867	
The Wrythe	Margaret Hughes	Labour Party	335	
The Wrythe	Margaret Philomena Collier	Labour Party	343	
The Wrythe	Roger Gaston Arthur Thistle	Liberal Democrats	1370	Elected
The Wrythe	Stephen Kwame Odunton	Conservative Party	791	
The Wrythe	Susan Mary Stears	Liberal Democrats	1436	Elected
Wallington North	Amy Jane Pattenden	Green Party	221	
Wallington North	Bruce Ian Nicholas Glithero	Liberal Democrats	1532	Elected
Wallington North	Cecil Denis Tate	Labour Party	229	
Wallington North	Dee Hyatt	Conservative Party	1262	
